day,time,course_name,semester
Senin,07:00 - 08:50,Kalkulus 2 - IUP,2
Senin,07:00 - 08:50,Keamanan Jaringan - T (EN),6
Senin,07:00 - 08:50,Komputasi Numerik - A,2
Senin,07:00 - 08:50,Manajemen Basis Data - E,4
Senin,07:00 - 08:50,Otomata - A,4
Senin,07:00 - 08:50,Pemrogaman Bahasa Natural - RKA (N),4
Senin,09:00 - 10:50,TD Komputasi Biomedik-A,1
Senin,10:00 - 11:50,Manajemen Basis Data - A,4
Senin,10:00 - 11:50,Otomata - B,4
Senin,10:00 - 11:50,Otomata - C,4
Senin,10:00 - 11:50,Pembelajaran Mesin - B,4
Senin,10:00 - 11:50,Pemrograman Berorientasi Objek - RPL (M),2
Senin,10:00 - 11:50,Pemrograman Jaringan - A,4
Senin,10:00 - 11:50,Probabilitas dan Statistik - A,4
Senin,10:00 - 11:50,Sistem Operasi - A,2
Senin,10:00 - 11:50,Struktur Data - A,2
Senin,10:00 - 11:50,Struktur Data - IUP,2
Senin,10:00 - 11:50,Topik Dalam Audit Sistem - A,1
Senin,11:00 - 12:50,Kewirausahaan Berbasis Teknologi - IUP,7
Senin,13:30 - 15:20,Manajemen Basis Data - B,4
Senin,13:30 - 15:20,Manajemen Basis Data - C (EN),4
Senin,13:30 - 15:20,Otomata - D,4
Senin,13:30 - 15:20,Pembelajaran Mesin - IUP (I),4
Senin,13:30 - 15:20,Pemrograman Berbasis Kerangka Kerja - RPL (M),4
Senin,13:30 - 15:20,Pemrograman Jaringan - B,4
Senin,13:30 - 15:20,Pemrograman Perangkat Bergerak - A,6
Senin,13:30 - 15:20,Pengantar Teknologi Elektro dan Informatika Cerdas - RPL (M),2
Senin,13:30 - 15:20,Probabilitas dan Statistik - B,4
Senin,13:30 - 15:20,Sistem Operasi - B,2
Senin,13:30 - 15:20,TD Audit Sistem-A,1
Senin,13:30 - 15:20,Teori Graf - RKA (N),2
Senin,13:30 - 15:20,Topik Dalam Sistem Terdistribusi - A,1
Senin,15:30 - 17:20,Organisasi Komputer - A,2
Senin,15:30 - 17:20,Perancangan Perangkat Lunak - IUP,4
Senin,15:30 - 17:20,Struktur Data - B,2
Senin,16:30 - 18:20,Topik Dalam Analisis Data Multivariat - P,1
Senin,18:30 - 20:20,Topik Dalam Grafika Komputer - P,1
Senin,18:30 - 20:20,Topik Dalam Rekayasa Kebutuhan - P,1
