day,time,course_name,semester
senin,09:00 - 10:50,Aplikasi Teknologi & Transformasi Digital,7
senin,09:00 - 10:50,Aplikasi Teknologi & Transformasi Digital - IUP,7
senin,07:00 - 08:50,Sistem Digital - A,1
senin,10:00 - 11:50,Sistem Digital - B,1
senin,13:30 - 15:20,Sistem Operasi - RKA,1
senin,15:30 - 17:20,Sistem Digital - C,1
senin,07:00 - 08:50,PTEIC - RKA,1
senin,10:00 - 11:50,Dasar Pemrograman - B,1
senin,13:30 - 15:20,Dasar Pemrograman - C,1
senin,07:00 - 08:50,Sistem Basis Data - A,1
senin,10:00 - 11:50,Konsep Pengembangan Perangkat Lunak - IUP,3
senin,13:30 - 15:20,Sistem Basis Data - B,1
senin,07:00 - 08:50,Dasar Pemrograman - A,1
senin,10:00 - 11:50,Basis Data - RKA,1
senin,13:30 - 15:20,Grafika Komputer - IUP,5
senin,07:00 - 08:50,Aljabar Linier - A,1
senin,10:00 - 11:50,Pemrograman Berbasis Kerangka Kerja - A,3
senin,13:30 - 15:20,Pemrograman Berbasis Kerangka Kerja - B,3
senin,07:00 - 08:50,Arsitektur Perangkat Lunak - T,7
senin,10:00 - 11:50,Kecerdasan Komputasional - RKA,3
senin,13:30 - 15:20,Data Mining - T,5
senin,15:30 - 17:20,Penambangan Data - RKA,3
senin,10:00 - 11:50,Matematika Diskrit - C,3
senin,13:30 - 15:20,Matematika Diskrit - D,3
senin,07:00 - 08:50,Topik Dalam Forensik Digital - A,1
senin,10:00 - 11:50,Topik Dalam Komputasi Bergerak - A,1
senin,18:30 - 20:20,Topik Dalam Forensik Digital - P,1
senin,07:00 - 08:50,Grafika Komputer - A,5
senin,10:00 - 11:50,Teori Graf - C,3
senin,13:30 - 15:20,Teori Graf - RPL,3
senin,16:30 - 18:20,Topik Dalam Pengolahan Citra - P,1
senin,18:30 - 20:20,Kecerdasan Komputasional - P,1
senin,07:00 - 08:50,Topik Dalam Pengujian Perangkat Lunak - A,1
senin,10:00 - 11:50,Grafika Komputer - B  (EN),5
senin,13:30 - 15:20,Rekayasa Perangkat Lunak untuk Pendidikan,1
senin,15:30 - 17:20,Tesis - Proposal - A,3
senin,18:30 - 20:20,Rekayasa Perangkat Lunak - P,1
senin,07:00 - 08:50,Teori Graf - A,3
